País,Total Casos,Nuevos Casos,Total Muertes,Nuevas Muertes,Total Recuperados,Nuevos Recuperados,Casos Activos,Serios/Críticos,Total Casos/1M,Muertes/1M,Total Tests,Tests/1M,Población,Continente
New Zealand,4038,24.0,27,-1.0,3591,93.0,420,5,807.0,5.0,3218752,643480,5002100,Australia/Oceania
Grenada,3841,351.0,50,2.0,1347,26.0,2444,-1,33944.0,442.0,66417,586951,113156,North America
Saint Martin,3646,-1.0,47,-1.0,1399,-1.0,2200,7,92386.0,1191.0,54303,1375979,39465,North America
Liechtenstein,3405,3.0,60,-1.0,3297,-1.0,48,1,88994.0,1568.0,49126,1283971,38261,Europe
New Caledonia,3401,558.0,16,2.0,58,-1.0,3327,35,11775.0,55.0,42756,148034,288826,Australia/Oceania
Monaco,3290,-1.0,33,-1.0,3218,4.0,39,6,83123.0,834.0,54960,1388580,39580,Europe
Sao Tome and Principe,3040,15.0,43,-1.0,2582,19.0,415,-1,13566.0,192.0,14689,65550,224087,Africa
Turks and Caicos,2800,1.0,21,-1.0,2663,2.0,116,1,71153.0,534.0,94789,2408747,39352,North America
Dominica,2758,-1.0,8,-1.0,2125,-1.0,625,-1,38198.0,111.0,64022,886694,72203,North America
St. Vincent Grenadines,2728,61.0,14,-1.0,2332,-1.0,382,2,24495.0,126.0,72099,647394,111368,North America
British Virgin Islands,2642,-1.0,37,-1.0,2555,-1.0,50,7,86694.0,1214.0,79575,2611157,30475,North America
Antigua and Barbuda,2603,-1.0,55,-1.0,1584,-1.0,964,9,26316.0,556.0,17409,176003,98913,North America
Bhutan,2597,1.0,3,-1.0,2593,1.0,1,-1,3321.0,4.0,1130149,1445372,781909,Asia
Caribbean Netherlands,1969,7.0,18,1.0,1827,-1.0,124,-1,74249.0,679.0,23069,869905,26519,North America
Saint Kitts and Nevis,1632,43.0,9,-1.0,909,16.0,714,1,30417.0,168.0,34855,649613,53655,North America
St. Barth,1548,-1.0,2,-1.0,462,-1.0,1084,-1,156143.0,202.0,38369,3870184,9914,North America
Tanzania,1367,-1.0,50,-1.0,183,-1.0,1134,7,22.0,0.8,-1,-1,61790640,Africa
Faeroe Islands,1059,6.0,2,-1.0,1029,6.0,28,-1,21574.0,41.0,420774,8571830,49088,Europe
Cayman Islands,774,2.0,2,-1.0,720,3.0,52,-1,11612.0,30.0,136206,2043356,66658,North America
Greenland,464,10.0,-1,-1.0,362,-1.0,102,2,8156.0,-1.0,67368,1184180,56890,North America
Anguilla,331,-1.0,-1,-1.0,317,-1.0,14,-1,21827.0,-1.0,38936,2567491,15165,North America
Falkland Islands,67,-1.0,-1,-1.0,63,-1.0,4,-1,18601.0,-1.0,7531,2090783,3602,South America
Montserrat,32,-1.0,1,-1.0,29,-1.0,2,-1,6405.0,200.0,1408,281825,4996,North America
Western Sahara,10,-1.0,1,-1.0,8,-1.0,1,-1,16.0,2.0,-1,-1,615102,Africa
Palau,5,-1.0,-1,-1.0,2,-1.0,3,-1,275.0,-1.0,9380,515413,18199,Australia/Oceania
Total:,228907394,417242.0,4699141,6767.0,205498697,442879.0,18709556,99863,29366.7,602.9,-1,-1,-1,All
